Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2012-07-17,14.2,14.2,14.2,14.2,-0.12,,,,,0
2012-07-18,14.25,14.25,14.25,14.25,-0.12,,,,,0
2012-07-19,14.15,14.15,14.15,14.15,-0.12,,,,,0
2012-07-20,14.1,14.1,14.1,14.1,-0.12,,,,,0
2012-07-23,13.9,13.9,13.9,13.9,-0.12,,,,,0
2012-07-24,13.85,13.85,13.85,13.85,-0.12,,,,,0
2012-07-25,13.75,13.75,13.75,13.75,-0.12,,,,,0
2012-07-26,13.6,13.6,13.6,13.6,-0.12,,,,,0
2012-07-27,13.5,13.5,13.5,13.5,-0.12,,,,,0
2012-07-30,13.35,13.35,13.35,13.35,-0.12,,,,,0
2012-07-31,13.4,13.4,13.4,13.4,-0.12,,,,,0
2012-08-01,13.45,13.45,13.45,13.45,-0.12,,,,,0
2012-08-02,13.6,13.6,13.6,13.6,-0.12,,,,,0
2012-08-03,13.6,13.6,13.6,13.6,-0.12,,,,,0
2012-08-06,13.55,13.55,13.55,13.55,-0.12,,,,,0
2012-08-07,13.6,13.6,13.6,13.6,-0.12,,,,,0
2012-08-08,13.5,13.5,13.5,13.5,-0.12,,,,,0
2012-08-09,13.5,13.5,13.5,13.5,-0.12,,,,,0
2012-08-10,13.85,13.85,13.85,13.85,-0.12,,,,,0
2012-08-13,13.65,13.65,13.65,13.65,-0.12,,,,,0
2012-08-14,13.7,13.7,13.7,13.7,-0.12,,,,,0
2012-08-15,13.7,13.7,13.7,13.7,-0.12,,,,,0
2012-08-16,13.7,13.7,13.7,13.7,-0.12,,,,,0
2012-08-17,13.55,13.55,13.55,13.55,-0.12,,,,,0
2012-08-20,13.55,13.55,13.55,13.55,-0.12,,,,,0
2012-08-21,13.8,13.8,13.8,13.8,-0.12,,,,,0
2012-08-22,13.65,13.65,13.65,13.65,-0.12,,,,,0
2012-08-23,13.65,13.65,13.65,13.65,-0.12,,,,,0
2012-08-24,13.55,13.55,13.55,13.55,-0.12,,,,,0
2012-08-27,13.7,13.7,13.7,13.7,-0.12,,,,,0
2012-08-28,13.75,13.75,13.75,13.75,-0.12,,,,,0
2012-08-29,13.55,13.55,13.55,13.55,-0.12,,,,,0
2012-08-30,13.6,13.6,13.6,13.6,-0.12,,,,,0
2012-08-31,13.15,13.15,13.15,13.15,-0.12,,,,,0
2012-09-03,13.05,13.05,13.05,13.05,-0.12,,,,,0
2012-09-04,12.9,12.9,12.9,12.9,-0.12,,,,,0
2012-09-05,12.9,12.9,12.9,12.9,-0.12,,,,,0
2012-09-06,12.75,12.75,12.75,12.75,-0.12,,,,,0
2012-09-07,12.8,12.8,12.8,12.8,-0.12,,,,,0
2012-09-08,13.0,13.0,13.0,13.0,-0.12,,,,,0
2012-09-10,13.0,13.0,13.0,13.0,-0.12,,,,,0
2012-09-11,12.85,12.85,12.85,12.85,-0.12,,,,,0
2012-09-12,12.9,12.9,12.9,12.9,-0.12,,,,,0
2012-09-13,12.85,12.85,12.85,12.85,-0.12,,,,,0
2012-09-14,12.75,12.75,12.75,12.75,-0.12,,,,,0
2012-09-17,12.8,12.8,12.8,12.8,-0.12,,,,,0
2012-09-18,12.95,12.95,12.95,12.95,-0.12,,,,,0
2012-09-19,12.95,12.95,12.95,12.95,-0.12,,,,,0
2012-09-20,12.8,12.8,12.8,12.8,-0.12,,,,,0
2012-09-21,12.8,12.8,12.8,12.8,-0.12,,,,,0
2012-09-24,13.1,13.1,13.1,13.1,-0.12,,,,,0
2012-09-25,12.95,12.95,12.95,12.95,-0.12,,,,,0
2012-09-26,13.05,13.05,13.05,13.05,-0.12,,,,,0
2012-09-27,13.15,13.15,13.15,13.15,-0.12,,,,,0
2012-09-28,13.2,13.2,13.2,13.2,-0.12,,,,,0
2012-10-01,13.55,13.55,13.55,13.55,-0.12,,,,,0
2012-10-02,13.55,13.55,13.55,13.55,-0.12,,,,,0
2012-10-03,13.65,13.65,13.65,13.65,-0.12,,,,,0
2012-10-04,13.7,13.7,13.7,13.7,-0.12,,,,,0
2012-10-05,13.45,13.45,13.45,13.45,-0.12,,,,,0
2012-10-08,13.95,13.95,13.95,13.95,-0.12,,,,,0
2012-10-09,13.75,13.75,13.75,13.75,-0.12,,,,,0
2012-10-10,13.6,13.6,13.6,13.6,-0.12,,,,,0
2012-10-11,13.7,13.7,13.7,13.7,-0.12,,,,,0
2012-10-12,13.5,13.5,13.5,13.5,-0.12,,,,,0
2012-10-15,13.55,13.55,13.55,13.55,-0.12,,,,,0
2012-10-16,13.8,13.8,13.8,13.8,-0.12,,,,,0
2012-10-17,13.35,13.35,13.35,13.35,-0.12,,,,,0
2012-10-18,13.35,13.35,13.35,13.35,-0.12,,,,,0
2012-10-19,13.4,13.4,13.4,13.4,-0.12,,,,,0
2012-10-22,13.4,13.4,13.4,13.4,-0.12,,,,,0
2012-10-23,13.3,13.3,13.3,13.3,-0.12,,,,,0
2012-10-24,13.3,13.3,13.3,13.3,-0.12,,,,,0
2012-10-25,13.4,13.4,13.4,13.4,-0.12,,,,,0
2012-10-26,13.25,13.25,13.25,13.25,-0.12,,,,,0
2012-10-29,13.15,13.15,13.15,13.15,-0.12,,,,,0
2012-10-30,13.1,13.1,13.1,13.1,-0.12,,,,,0
2012-10-31,13.1,13.1,13.1,13.1,-0.12,,,,,0
2012-11-01,13.15,13.15,13.15,13.15,-0.12,,,,,0
2012-11-02,13.3,13.3,13.3,13.3,-0.12,,,,,0
2012-11-05,13.1,13.1,13.1,13.1,-0.12,,,,,0
2012-11-06,12.95,12.95,12.95,12.95,-0.12,,,,,0
2012-11-07,12.9,12.9,12.9,12.9,-0.12,,,,,0
2012-11-08,14.05,14.05,14.05,14.05,-0.12,,,,,0
2012-11-09,13.25,13.25,13.25,13.25,-0.12,,,,,0
2012-11-12,13.25,13.25,13.25,13.25,-0.12,,,,,0
2012-11-13,13.45,13.45,13.45,13.45,-0.12,,,,,0
2012-11-14,13.45,13.45,13.45,13.45,-0.12,,,,,0
2012-11-15,13.2,13.2,13.2,13.2,-0.12,,,,,0
2012-11-16,13.25,13.25,13.25,13.25,-0.12,,,,,0
2012-11-19,13.1,13.1,13.1,13.1,-0.12,,,,,0
2012-11-20,12.95,12.95,12.95,12.95,-0.12,,,,,0
2012-11-21,13.25,13.25,13.25,13.25,-0.12,,,,,0
2012-11-22,13.25,13.25,13.25,13.25,-0.12,,,,,0
2012-11-23,12.95,12.95,12.95,12.95,-0.12,,,,,0
2012-11-26,13.1,13.1,13.1,13.1,-0.12,,,,,0
2012-11-27,13.05,13.05,13.05,13.05,-0.12,,,,,0
2012-11-28,13.05,13.05,13.05,13.05,-0.12,,,,,0
2012-11-29,13.0,13.0,13.0,13.0,-0.12,,,,,0
2012-11-30,13.2,13.2,13.2,13.2,-0.12,,,,,0
2012-12-03,13.15,13.15,13.15,13.15,-0.12,,,,,0
2012-12-04,13.2,13.2,13.2,13.2,-0.12,,,,,0
2012-12-05,13.15,13.15,13.15,13.15,-0.12,,,,,0
2012-12-06,12.85,12.85,12.85,12.85,-0.12,,,,,0
2012-12-07,13.2,13.2,13.2,13.2,-0.12,,,,,0
2012-12-10,13.25,13.25,13.25,13.25,-0.12,,,,,0
2012-12-11,13.15,13.15,13.15,13.15,-0.12,,,,,0
2012-12-12,13.2,13.2,13.2,13.2,-0.12,,,,,0
2012-12-13,13.25,13.25,13.25,13.25,-0.12,,,,,0
2012-12-14,13.35,13.35,13.35,13.35,-0.12,,,,,0
2012-12-17,13.55,13.55,13.55,13.55,-0.12,,,,,0
2012-12-18,13.5,13.5,13.5,13.5,-0.12,,,,,0
2012-12-19,13.65,13.65,13.65,13.65,-0.12,,,,,0
2012-12-20,13.6,13.6,13.6,13.6,-0.12,,,,,0
2012-12-21,13.45,13.45,13.45,13.45,-0.12,,,,,0
2012-12-24,13.35,13.35,13.35,13.35,-0.12,,,,,0
2012-12-25,13.35,13.35,13.35,13.35,-0.12,,,,,0
2012-12-26,13.2,13.2,13.2,13.2,-0.12,,,,,0
2012-12-27,13.05,13.05,13.05,13.05,-0.12,,,,,0
2012-12-28,13.25,13.25,13.25,13.25,-0.12,,,,,0
2012-12-31,13.3,13.3,13.3,13.3,-0.12,,,,,0
2013-01-01,13.55,13.55,13.55,13.55,-0.12,,,,,0
2013-01-02,13.35,13.35,13.35,13.35,-0.12,,,,,0
2013-01-03,13.15,13.15,13.15,13.15,-0.12,,,,,0
2013-01-04,13.4,13.4,13.4,13.4,-0.12,,,,,0
2013-01-07,13.8,13.8,13.8,13.8,-0.12,,,,,0
2013-01-08,13.45,13.45,13.45,13.45,-0.12,,,,,0
2013-01-09,13.7,13.7,13.7,13.7,-0.12,,,,,0
2013-01-10,13.45,13.45,13.45,13.45,-0.12,,,,,0
2013-01-11,13.6,13.6,13.6,13.6,-0.12,,,,,0
2013-01-14,13.4,13.4,13.4,13.4,-0.12,,,,,0
2013-01-15,13.35,13.35,13.35,13.35,-0.12,,,,,0
2013-01-16,13.2,13.2,13.2,13.2,-0.12,,,,,0
2013-01-17,13.0,13.0,13.0,13.0,-0.12,,,,,0
2013-01-18,13.0,13.0,13.0,13.0,-0.12,,,,,0
2013-01-21,13.0,13.0,13.0,13.0,-0.12,,,,,0
2013-01-22,12.9,12.9,12.9,12.9,-0.12,,,,,0
2013-01-23,12.95,12.95,12.95,12.95,-0.12,,,,,0
2013-01-24,12.8,12.8,12.8,12.8,-0.12,,,,,0
2013-01-25,12.75,12.75,12.75,12.75,-0.12,,,,,0
2013-01-28,12.8,12.8,12.8,12.8,-0.12,,,,,0
2013-01-29,12.5,12.5,12.5,12.5,-0.12,,,,,0
2013-01-30,12.3,12.3,12.3,12.3,-0.12,,,,,0
2013-01-31,12.35,12.35,12.35,12.35,-0.12,,,,,0
2013-02-01,11.9,11.9,11.9,11.9,-0.12,,,,,0
2013-02-04,12.05,12.05,12.05,12.05,-0.12,,,,,0
2013-02-05,11.85,11.85,11.85,11.85,-0.12,,,,,0
2013-02-06,11.95,11.95,11.95,11.95,-0.12,,,,,0
2013-02-07,11.9,11.9,11.9,11.9,-0.12,,,,,0
2013-02-08,11.8,11.8,11.8,11.8,-0.12,,,,,0
2013-02-11,11.65,11.65,11.65,11.65,-0.12,,,,,0
2013-02-12,11.95,11.95,11.95,11.95,-0.12,,,,,0
2013-02-13,11.6,11.6,11.6,11.6,-0.12,,,,,0
2013-02-14,11.95,11.95,11.95,11.95,-0.12,,,,,0
2013-02-15,11.4,11.4,11.4,11.4,-0.12,,,,,0
2013-02-18,11.4,11.4,11.4,11.4,-0.12,,,,,0
2013-02-19,11.5,11.5,11.5,11.5,-0.12,,,,,0
2013-02-20,11.5,11.5,11.5,11.5,-0.12,,,,,0
2013-02-21,11.4,11.4,11.4,11.4,-0.12,,,,,0
2013-02-22,11.4,11.4,11.4,11.4,-0.12,,,,,0
2013-02-25,11.1,11.1,11.1,11.1,-0.12,,,,,0
2013-02-26,10.95,10.95,10.95,10.95,-0.12,,,,,0
2013-02-27,11.05,11.05,11.05,11.05,-0.12,,,,,0
2013-02-28,10.65,10.65,10.65,10.65,-0.12,,,,,0
2013-03-01,10.5,10.5,10.5,10.5,-4.09,,,,,0
2013-03-04,10.5,10.5,10.5,10.5,-4.09,,,,,0
2013-03-05,10.25,10.25,10.25,10.25,-4.09,,,,,0
2013-03-06,12.25,12.25,12.25,12.25,-4.09,,,,,0
2013-03-07,11.45,11.45,11.45,11.45,-4.09,,,,,0
2013-03-08,11.5,11.5,11.5,11.5,-4.09,,,,,0
2013-03-11,11.05,11.05,11.05,11.05,-4.09,,,,,0
2013-03-12,12.4,12.4,12.4,12.4,-4.09,,,,,0
2013-03-13,11.55,11.55,11.55,11.55,-4.09,,,,,0
2013-03-14,11.55,11.55,11.55,11.55,-4.09,,,,,0
2013-03-15,11.45,11.45,11.45,11.45,-4.09,,,,,0
2013-03-18,11.3,11.3,11.3,11.3,-4.09,,,,,0
2013-03-19,11.45,11.45,11.45,11.45,-4.09,,,,,0
2013-03-20,11.0,11.0,11.0,11.0,-4.09,,,,,0
2013-03-21,10.9,10.9,10.9,10.9,-4.09,,,,,0
2013-03-22,10.85,10.85,10.85,10.85,-4.09,,,,,0
2013-03-25,10.8,10.8,10.8,10.8,-4.09,,,,,0
2013-03-26,10.75,10.75,10.75,10.75,-4.09,,,,,0
2013-03-27,10.75,10.75,10.75,10.75,-4.09,,,,,0
2013-03-28,10.75,10.75,10.75,10.75,-4.09,,,,,0
2013-03-29,10.75,10.75,10.75,10.75,-4.09,,,,,0
2013-04-01,10.85,10.85,10.85,10.85,-4.09,,,,,0
2013-04-02,11.0,11.0,11.0,11.0,-4.09,,,,,0
2013-04-03,10.95,10.95,10.95,10.95,-4.09,,,,,0
2013-04-04,10.9,10.9,10.9,10.9,-4.09,,,,,0
2013-04-05,10.9,10.9,10.9,10.9,-4.09,,,,,0
2013-04-08,10.95,10.95,10.95,10.95,-4.09,,,,,0
2013-04-09,10.85,10.85,10.85,10.85,-4.09,,,,,0
2013-04-10,10.8,10.8,10.8,10.8,-4.09,,,,,0
2013-04-11,10.85,10.85,10.85,10.85,-4.09,,,,,0
2013-04-12,10.9,10.9,10.9,10.9,-4.09,,,,,0
2013-04-15,10.75,10.75,10.75,10.75,-4.09,,,,,0
2013-04-16,11.0,11.0,11.0,11.0,-4.09,,,,,0
2013-04-17,11.0,11.0,11.0,11.0,-4.09,,,,,0
2013-04-18,10.85,10.85,10.85,10.85,-4.09,,,,,0
2013-04-19,10.85,10.85,10.85,10.85,-4.09,,,,,0
2013-04-22,11.05,11.05,11.05,11.05,-4.09,,,,,0
2013-04-23,11.45,11.45,11.45,11.45,-4.09,,,,,0
2013-04-24,11.45,11.45,11.45,11.45,-4.09,,,,,0
2013-04-25,11.35,11.35,11.35,11.35,-4.09,,,,,0
2013-04-26,11.1,11.1,11.1,11.1,-4.09,,,,,0
2013-04-29,11.15,11.15,11.15,11.15,-4.09,,,,,0
2013-04-30,11.3,11.3,11.3,11.3,-4.09,,,,,0
2013-05-01,11.3,11.3,11.3,11.3,-4.09,,,,,0
2013-05-02,11.4,11.4,11.4,11.4,-4.09,,,,,0
2013-05-03,11.4,11.4,11.4,11.4,-4.09,,,,,0
2013-05-06,11.2,11.2,11.2,11.2,-4.09,,,,,0
2013-05-07,11.95,11.95,11.95,11.95,-4.09,,,,,0
2013-05-08,12.35,12.35,12.35,12.35,-4.09,,,,,0
2013-05-09,11.95,11.95,11.95,11.95,-4.09,,,,,0
2013-05-10,11.4,11.4,11.4,11.4,-4.09,,,,,0
2013-05-11,11.35,11.35,11.35,11.35,-4.09,,,,,0
2013-05-13,12.0,12.0,12.0,12.0,-4.09,,,,,0
2013-05-14,11.95,11.95,11.95,11.95,-4.09,,,,,0
2013-05-15,11.7,11.7,11.7,11.7,-4.09,,,,,0
2013-05-16,11.45,11.45,11.45,11.45,-4.09,,,,,0
2013-05-17,11.75,11.75,11.75,11.75,-4.09,,,,,0
2013-05-20,12.05,12.05,12.05,12.05,-4.09,,,,,0
2013-05-21,12.1,12.1,12.1,12.1,-4.09,,,,,0
2013-05-22,12.35,12.35,12.35,12.35,-4.09,,,,,0
2013-05-23,11.85,11.85,11.85,11.85,-4.09,,,,,0
2013-05-24,11.6,11.6,11.6,11.6,-4.09,,,,,0
2013-05-27,11.5,11.5,11.5,11.5,-4.09,,,,,0
2013-05-28,11.3,11.3,11.3,11.3,-4.09,,,,,0
2013-05-29,11.2,11.2,11.2,11.2,-4.09,,,,,0
2013-05-30,11.05,11.05,11.05,11.05,-4.09,,,,,0
2013-05-31,10.9,10.9,10.9,10.9,-4.09,,,,,0
2013-06-03,10.6,10.6,10.6,10.6,-4.09,,,,,0
2013-06-04,10.4,10.4,10.4,10.4,-4.09,,,,,0
2013-06-05,10.4,10.4,10.4,10.4,-4.09,,,,,0
2013-06-06,10.4,10.4,10.4,10.4,-4.09,,,,,0
2013-06-07,10.3,10.3,10.3,10.3,-4.09,,,,,0
2013-06-10,9.95,9.95,9.95,9.95,-4.09,,,,,0
2013-06-11,9.55,9.55,9.55,9.55,-4.09,,,,,0
2013-06-12,9.75,9.75,9.75,9.75,-4.09,,,,,0
2013-06-13,9.55,9.55,9.55,9.55,-4.09,,,,,0
2013-06-14,9.6,9.6,9.6,9.6,-4.09,,,,,0
2013-06-17,10.95,10.95,10.95,10.95,-4.09,,,,,0
2013-06-18,10.4,10.4,10.4,10.4,-4.09,,,,,0
2013-06-19,10.7,10.7,10.7,10.7,-4.09,,,,,0
2013-06-20,10.75,10.75,10.75,10.75,-4.09,,,,,0
2013-06-21,10.95,10.95,10.95,10.95,-4.09,,,,,0
2013-06-24,11.2,11.2,11.2,11.2,-4.09,,,,,0
2013-06-25,11.45,11.45,11.45,11.45,-4.09,,,,,0
2013-06-26,11.35,11.35,11.35,11.35,-4.09,,,,,0
2013-06-27,11.3,11.3,11.3,11.3,-4.09,,,,,0
2013-06-28,11.15,11.15,11.15,11.15,-4.09,,,,,0
2013-07-01,11.2,11.2,11.2,11.2,-4.09,,,,,0
2013-07-02,11.0,11.0,11.0,11.0,-4.09,,,,,0
2013-07-03,10.8,10.8,10.8,10.8,-4.09,,,,,0
2013-07-04,10.65,10.65,10.65,10.65,-4.09,,,,,0
2013-07-05,10.4,10.4,10.4,10.4,-4.09,,,,,0
2013-07-08,10.25,10.25,10.25,10.25,-4.09,,,,,0
2013-07-09,10.4,10.4,10.4,10.4,-4.09,,,,,0
2013-07-10,10.15,10.15,10.15,10.15,-4.09,,,,,0
2013-07-11,10.1,10.1,10.1,10.1,-4.09,,,,,0
2013-07-12,10.15,10.15,10.15,10.15,-4.09,,,,,0
2013-07-15,9.95,9.95,9.95,9.95,-4.09,,,,,0
2013-07-16,9.5,9.5,9.5,9.5,-4.09,,,,,0
2013-07-17,9.25,9.25,9.25,9.25,-4.09,,,,,0
2013-07-18,9.1,9.1,9.1,9.1,-4.09,,,,,0
2013-07-19,9.05,9.05,9.05,9.05,-4.09,,,,,0
2013-07-22,8.8,8.8,8.8,8.8,-4.09,,,,,0
2013-07-23,9.55,9.55,9.55,9.55,-4.09,,,,,0
2013-07-24,9.05,9.05,9.05,9.05,-4.09,,,,,0
2013-07-25,9.0,9.0,9.0,9.0,-4.09,,,,,0
2013-07-26,9.05,9.05,9.05,9.05,-4.09,,,,,0
2013-07-29,9.0,9.0,9.0,9.0,-4.09,,,,,0
2013-07-30,8.55,8.55,8.55,8.55,-4.09,,,,,0
2013-07-31,8.8,8.8,8.8,8.8,-4.09,,,,,0
2013-08-01,8.55,8.55,8.55,8.55,-4.09,,,,,0
2013-08-02,8.65,8.65,8.65,8.65,-4.09,,,,,0
2013-08-05,9.1,9.1,9.1,9.1,-4.09,,,,,0
2013-08-06,8.5,8.5,8.5,8.5,-4.09,,,,,0
2013-08-07,9.0,9.0,9.0,9.0,-4.09,,,,,0
2013-08-08,8.95,8.95,8.95,8.95,-4.09,,,,,0
2013-08-09,8.95,8.95,8.95,8.95,-4.09,,,,,0
2013-08-12,9.2,9.2,9.2,9.2,-4.09,,,,,0
2013-08-13,8.95,8.95,8.95,8.95,-4.09,,,,,0
2013-08-14,8.75,8.75,8.75,8.75,-4.09,,,,,0
2013-08-15,8.75,8.75,8.75,8.75,-4.09,,,,,0
2013-08-16,8.5,8.5,8.5,8.5,-4.09,,,,,0
2013-08-19,8.25,8.25,8.25,8.25,-4.09,,,,,0
2013-08-20,8.15,8.15,8.15,8.15,-4.09,,,,,0
2013-08-21,8.0,8.0,8.0,8.0,-4.09,,,,,0
2013-08-22,7.95,7.95,7.95,7.95,-4.09,,,,,0
2013-08-23,8.0,8.0,8.0,8.0,-4.09,,,,,0
2013-08-26,7.95,7.95,7.95,7.95,-4.09,,,,,0
2013-08-27,7.75,7.75,7.75,7.75,-4.09,,,,,0
2013-08-28,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-08-29,7.65,7.65,7.65,7.65,-4.09,,,,,0
2013-08-30,7.5,7.5,7.5,7.5,-4.09,,,,,0
2013-09-02,7.4,7.4,7.4,7.4,-4.09,,,,,0
2013-09-03,7.4,7.4,7.4,7.4,-4.09,,,,,0
2013-09-04,7.3,7.3,7.3,7.3,-4.09,,,,,0
2013-09-05,7.45,7.45,7.45,7.45,-4.09,,,,,0
2013-09-06,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-09-09,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-09-10,7.75,7.75,7.75,7.75,-4.09,,,,,0
2013-09-11,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-09-12,7.75,7.75,7.75,7.75,-4.09,,,,,0
2013-09-13,7.75,7.75,7.75,7.75,-4.09,,,,,0
2013-09-16,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-09-17,7.45,7.45,7.45,7.45,-4.09,,,,,0
2013-09-18,7.4,7.4,7.4,7.4,-4.09,,,,,0
2013-09-19,7.5,7.5,7.5,7.5,-4.09,,,,,0
2013-09-20,7.4,7.4,7.4,7.4,-4.09,,,,,0
2013-09-23,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-09-24,7.45,7.45,7.45,7.45,-4.09,,,,,0
2013-09-25,7.45,7.45,7.45,7.45,-4.09,,,,,0
2013-09-26,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-09-27,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-09-30,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-10-01,7.75,7.75,7.75,7.75,-4.09,,,,,0
2013-10-02,7.75,7.75,7.75,7.75,-4.09,,,,,0
2013-10-03,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-10-04,7.5,7.5,7.5,7.5,-4.09,,,,,0
2013-10-07,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-10-08,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-10-09,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-10-10,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-10-11,7.75,7.75,7.75,7.75,-4.09,,,,,0
2013-10-14,7.85,7.85,7.85,7.85,-4.09,,,,,0
2013-10-15,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-10-16,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-10-17,7.65,7.65,7.65,7.65,-4.09,,,,,0
2013-10-18,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-10-21,7.65,7.65,7.65,7.65,-4.09,,,,,0
2013-10-22,7.8,7.8,7.8,7.8,-4.09,,,,,0
2013-10-23,7.8,7.8,7.8,7.8,-4.09,,,,,0
2013-10-24,7.9,7.9,7.9,7.9,-4.09,,,,,0
2013-10-25,7.75,7.75,7.75,7.75,-4.09,,,,,0
2013-10-28,7.65,7.65,7.65,7.65,-4.09,,,,,0
2013-10-29,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-10-30,7.65,7.65,7.65,7.65,-4.09,,,,,0
2013-10-31,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-11-01,7.8,7.8,7.8,7.8,-4.09,,,,,0
2013-11-03,8.05,8.05,8.05,8.05,-4.09,,,,,0
2013-11-04,8.05,8.05,8.05,8.05,-4.09,,,,,0
2013-11-05,7.95,7.95,7.95,7.95,-4.09,,,,,0
2013-11-06,7.9,7.9,7.9,7.9,-4.09,,,,,0
2013-11-07,7.95,7.95,7.95,7.95,-4.09,,,,,0
2013-11-08,7.85,7.85,7.85,7.85,-4.09,,,,,0
2013-11-11,7.85,7.85,7.85,7.85,-4.09,,,,,0
2013-11-12,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-11-13,7.6,7.6,7.6,7.6,-4.09,,,,,0
2013-11-14,7.5,7.5,7.5,7.5,-4.09,,,,,0
2013-11-15,7.5,7.5,7.5,7.5,-4.09,,,,,0
2013-11-18,7.45,7.45,7.45,7.45,-4.09,,,,,0
2013-11-19,7.4,7.4,7.4,7.4,-4.09,,,,,0
2013-11-20,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-11-21,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-11-22,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-11-25,7.75,7.75,7.75,7.75,-4.09,,,,,0
2013-11-26,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-11-27,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-11-28,7.55,7.55,7.55,7.55,-4.09,,,,,0
2013-11-29,7.65,7.65,7.65,7.65,-4.09,,,,,0
2013-12-02,7.8,7.8,7.8,7.8,-4.09,,,,,0
2013-12-03,8.3,8.3,8.3,8.3,-4.09,,,,,0
2013-12-04,8.3,8.3,8.3,8.3,-4.09,,,,,0
2013-12-05,8.1,8.1,8.1,8.1,-4.09,,,,,0
2013-12-06,8.2,8.2,8.2,8.2,-4.09,,,,,0
2013-12-09,8.15,8.15,8.15,8.15,-4.09,,,,,0
2013-12-10,7.9,7.9,7.9,7.9,-4.09,,,,,0
2013-12-11,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-12-12,7.8,7.8,7.8,7.8,-4.09,,,,,0
2013-12-13,7.85,7.85,7.85,7.85,-4.09,,,,,0
2013-12-16,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-12-17,7.5,7.5,7.5,7.5,-4.09,,,,,0
2013-12-18,7.45,7.45,7.45,7.45,-4.09,,,,,0
2013-12-19,7.45,7.45,7.45,7.45,-4.09,,,,,0
2013-12-20,7.5,7.5,7.5,7.5,-4.09,,,,,0
2013-12-23,7.7,7.7,7.7,7.7,-4.09,,,,,0
2013-12-24,7.85,7.85,7.85,7.85,-4.09,,,,,0
2013-12-25,7.85,7.85,7.85,7.85,-4.09,,,,,0
2013-12-26,8.55,8.55,8.55,8.55,-4.09,,,,,0
2013-12-27,8.1,8.1,8.1,8.1,-4.09,,,,,0
2013-12-30,8.05,8.05,8.05,8.05,-4.09,,,,,0
2013-12-31,8.05,8.05,8.05,8.05,-4.09,,,,,0
2014-01-01,8.3,8.3,8.3,8.3,-4.09,,,,,0
2014-01-02,8.25,8.25,8.25,8.25,-4.09,,,,,0
2014-01-03,8.4,8.4,8.4,8.4,-4.09,,,,,0
2014-01-06,8.3,8.3,8.3,8.3,-4.09,,,,,0
2014-01-07,8.4,8.4,8.4,8.4,-4.09,,,,,0
2014-01-08,8.2,8.2,8.2,8.2,-4.09,,,,,0
2014-01-09,8.35,8.35,8.35,8.35,-4.09,,,,,0
2014-01-10,8.2,8.2,8.2,8.2,-4.09,,,,,0
2014-01-13,8.05,8.05,8.05,8.05,-4.09,,,,,0
2014-01-14,8.25,8.25,8.25,8.25,-4.09,,,,,0
2014-01-15,8.1,8.1,8.1,8.1,-4.09,,,,,0
2014-01-16,8.2,8.2,8.2,8.2,-4.09,,,,,0
2014-01-17,7.9,7.9,7.9,7.9,-4.09,,,,,0
2014-01-20,7.7,7.7,7.7,7.7,-4.09,,,,,0
2014-01-21,7.45,7.45,7.45,7.45,-4.09,,,,,0
2014-01-22,8.3,8.3,8.3,8.3,-4.09,,,,,0
2014-01-23,9.0,9.0,9.0,9.0,-4.09,,,,,0
2014-01-24,8.8,8.8,8.8,8.8,-4.09,,,,,0
2014-01-27,8.35,8.35,8.35,8.35,-4.09,,,,,0
2014-01-28,8.3,8.3,8.3,8.3,-4.09,,,,,0
2014-01-29,8.35,8.35,8.35,8.35,-4.09,,,,,0
2014-01-30,8.05,8.05,8.05,8.05,-4.09,,,,,0
2014-01-31,7.95,7.95,7.95,7.95,-4.09,,,,,0
2014-02-03,8.0,8.0,8.0,8.0,-4.09,,,,,0
2014-02-04,7.7,7.7,7.7,7.7,-4.09,,,,,0
2014-02-05,8.05,8.05,8.05,8.05,-4.09,,,,,0
